number;Price (EUR);dkk
415.101.1.01;104;775,84
1024851,01;541;4035,86
440.00.00.01;399;2976,54
402.25.19.01;76;566,96
505.05.62.01;190;1417,4
500.15.75.01;152;1133,92
402.25.20.01;76;566,96
402.25.40.01;76;566,96
402.25.47.01;104;775,84
402.25.49.01;104;775,84
506.21.60.01;200;1492
450.10.17.01;71;529,66
450.10.20.01;71;529,66
575.12.05.01;152;1133,92
502.06.30.01;76;566,96
505.06.35.01;427;3185,42
418.01.10.01;76;566,96
501.55.95.01;645;4811,7
450.10.16.01;67;499,82
403.05.35.01;66;492,36
505.06.53.01;436;3252,56
556.51.53.01;67;499,82
560.15.35.01;71;529,66
1009370;24;179,04
402.26.00.01;82;611,72
401.00.09.01;49;365,54
419.01.07.01;124;925,04
401.10.00.01;86;641,56
402.05.17.01;67;499,82
1007624;71;529,66
506.26.20.01;484;3610,64
506.25.35.01;901;6721,46
560.30.09.01;124;925,04
440.05.51.01;314;2342,44
502.05.14.01;67;499,82
401.03.71.01;134;999,64
505.01.60.01;71;529,66
31.00.725;134;999,64
560.15.81.01;2343;17478,78
512.31.20.01;238;1775,48
512.31.30.01;238;1775,48
560.14.16.01;114;850,44
505.22.24.01;465;3468,9
31.00.722;238;1775,48
440.00.01.01;447;3334,62
502.28.00.01;114;850,44
402.25.31.01;58;432,68
502.38.00.01;210;1566,6
400.40.10.01;76;566,96
401.06.75.01;86;641,56
505.05.32.01;238;1775,48
430.10.72.01;171;1275,66
501.38.12.01;134;999,64
506.38.20.01;190;1417,4
501.45.52.01;86;641,56
505.06.25.01;408;3043,68
505.05.70.01;408;3043,68
402.26.70.01;104;775,84
402.04.40.01;210;1566,6
403.04.88.01;104;775,84
501.23.09.01;361;2693,06
401.06.76.01;82;611,72
401.05.81.01;124;925,04
502.21.00.01;95;708,7
401.05.10.01;71;529,66
512.02.90.01;200;1492
512.09.90.01;200;1492
501.23.80.01;314;2342,44
502.14.00.01;86;641,56
430.10.70.01;256;1909,76
505.06.61.01;408;3043,68
501.63.00.01;749;5587,54
501.23.00.01;314;2342,44
505.05.85.01;1062;7922,52
505.05.29.01;210;1566,6
440.05.23.01;456;3401,76
440.05.54.01;389;2901,94
440.05.88.01;389;2901,94
440.05.20.01;436;3252,56
440.05.52.01;399;2976,54
440.05.00.01;399;2976,54
506.20.60.01;361;2693,06
560.15.80.01;180;1342,8
506.30.37.01;91;678,86
505.03.60.01;124;925,04
505.02.55.01;124;925,04
512.01.90.01;200;1492
501.17.00.01;256;1909,76
500.20.75.01;171;1275,66
440.05.84.01;475;3543,5
501.45.00.01;493;3677,78
500.30.75.01;219;1633,74
501.30.00.01;342;2551,32
501.38.83.01;503;3752,38
506.27.20.01;493;3677,78
506.27.00.01;475;3543,5
601.00.13;1129;8422,34
547.00.50;389;2901,94
512.01.76;142;1059,32
560.14.34;67;499,82
512.21.87;342;2551,32
512.21.84;389;2901,94
505.03.84;806;6012,76
505.05.58;1262;9414,52
547.00.63;693;5169,78
506.260.8;124;925,04
506.200.7;104;775,84
506.250.8;86;641,56
506.117.1;71;529,66
505.112.8;71;529,66
506.180.8;82;611,72
505.235.8;95;708,7
506.215.8;124;925,04
506.096.2;76;566,96
506.096.6;76;566,96
506.240.8;114;850,44
506.105.8;67;499,82
506.270.4;134;999,64
506.125.8;76;566,96
506.245.8;82;611,72
506.210.6;114;850,44
506.306.8;219;1633,74
516.105.9;43;320,78
506.270.8;162;1208,52
506.115.8;82;611,72
506.220.9;104;775,84
506.320.2;418;3118,28
506.335.4;238;1775,48
505.270.8;48;358,08
506.390.4;210;1566,6
506.440.4;228;1700,88
506.420.4;180;1342,8
505.201.8;76;566,96
506.235.8;67;499,82
506.320.4;124;925,04
506.270.9;134;999,64
506.340.4;171;1275,66
506.350.4;171;1275,66
506.375.4;162;1208,52
506.306.4;124;925,04
505.208.8;114;850,44
506.410.4;210;1566,6
506.360.6;180;1342,8
506.310.4;171;1275,66
506.301.4;171;1275,66
505.096.8;228;1700,88
512.24.61;532;3968,72
512.24.62;532;3968,72
505.340.4;91;678,86
505.300.8;86;641,56
505.335.4;114;850,44
505.350.4;91;678,86
505.360.4;104;775,84
505.390.4;114;850,44
505.320.4;76;566,96
506.360.8;156;1163,76
560.40.43;465;3468,9
560.14.85;323;2409,58
502.03.99;67;499,82
506.20.64;124;925,04
560.14.31;82;611,72
502.03.97;104;775,84
556.50.30;551;4110,46
1013894;52;387,92
547.00.04;664;4953,44
547.00.26;731;5453,26
560.15.69;949;7079,54
450.11.25;8;59,68
1009661;1566;11682,36
556.51.05;210;1566,6
556.60.62;26;193,96
505.11.09;44;328,24
556.50.59;162;1208,52
560.10.34;949;7079,54
560.17.23;256;1909,76
560.14.92;162;1208,52
560.11.53;134;999,64
556.51.67;104;775,84
556.51.68;114;850,44
556.51.69;114;850,44
556.50.63;114;850,44
560.02.55;275;2051,5
504.05.40;3358;25050,68
502.05.99;892;6654,32
502.05.20;2865;21372,9
502.05.30;2153;16061,38
502.05.40;1584;11816,64
502.05.50;523;3901,58
502.05.60;1110;8280,6
502.14.00;4002;29854,92
502.21.00;1375;10257,5
502.06.00;1395;10406,7
556.60.69;238;1775,48
556.60.70;238;1775,48
556.51.60;275;2051,5
556.50.69;532;3968,72
505.80.82;541;4035,86
400.25.83;31;231,26
400.40.08;52;387,92
502.02.21;62;462,52
30.09.006;22;164,12
556.01.30;295;2200,7
560.14.23;58;432,68
30.03.012;7;52,22
540.03.05;71;529,66
540.03.09;82;611,72
501.20.15;76;566,96
501.40.15;76;566,96
410.07.52;52;387,92
502.02.90;23;171,58
401.04.17;76;566,96
501.28.18;82;611,72
501.25.15;71;529,66
401.02.52;24;179,04
501.63.15;134;999,64
560.15.71;598;4461,08
402.04.20;26;193,96
560.01.78;124;925,04
500.00.56;42;313,32
540.01.14;124;925,04
540.02.15;351;2618,46
40.01.010;13;96,98
40.09.007;171;1275,66
40.01.048;8;59,68
40.01.069;29;216,34
505.13.67;5;37,3
40.01.085;20;149,2
33.05.026;6;44,76
540.00.12;76;566,96
540.02.12;200;1492
1010674;5;37,3
400.04.00;873;6512,58
418.01.57;532;3968,72
401.02.80;608;4535,68
450.10.03;541;4035,86
1010842;436;3252,56
505.00.07;6336;47266,56
27.03.100;34;253,64
441.00.12;2220;16561,2
512.22.10.02;816;6087,36
505.01.60.02;1698;12667,08
512.31.30.02;523;3901,58
401.12.73.02;569;4244,74
503.05.50.02;551;4110,46
505.16.30.02;436;3252,56
502.05.30.02;86;641,56
505.00.55.02;380;2834,8
575.12.05.02;171;1275,66
430.10.17.02;58;432,68
440.05.50.02;34;253,64
540.00.00.02;2020;15069,2
501.12.00.02;873;6512,58
500.15.75.02;436;3252,56
400.07.90.02;143;1066,78
415.100.0.02;361;2693,06
521.00.07.02;42;313,32
415.01.38.02;95;708,7
501.15.80.02;892;6654,32
415.01.70.02;275;2051,5
501.17.80.02;873;6512,58
560.14.67.02;58;432,68
502.05.50.02;162;1208,52
505.05.88.02;1101;8213,46
575.11.01.02;190;1417,4
450.10.06.02;256;1909,76
512.02.51.02;82;611,72
547.01.12.02;5255;39202,3
556.51.71.02;104;775,84
556.51.73.02;104;775,84
501.23.20.02;1205;8989,3
505.13.50.02;134;999,64
401.23.01.02;532;3968,72
415.12.21.02;285;2126,1
527.01.49.02;210;1566,6
415.01.75.02;323;2409,58
450.20.04.02;247;1842,62
401.02.33.02;114;850,44
430.06.25.02;228;1700,88
402.05.07.02;35;261,1
419.00.00.02;95;708,7
526.00.41.02;816;6087,36
502.55.00.02;693;5169,78
555.15.22.02;1594;11891,24
450.00.12.02;171;1275,66
402.25.80.02;82;611,72
500.25.75.02;503;3752,38
401.02.31.02;124;925,04
402.05.22.02;1831;13659,26
440.00.02.02;569;4244,74
401.41.07.02;71;529,66
401.09.02.02;228;1700,88
430.10.33.02;219;1633,74
440.09.88.02;769;5736,74
501.17.95.02;2229;16628,34
512.23.75.02;806;6012,76
450.00.14.02;171;1275,66
450.20.02.02;256;1909,76
403.05.43.02;1025;7646,5
400.07.20.02;180;1342,8
403.07.81.02;1423;10615,58
401.03.20.02;314;2342,44
556.51.53.02;134;999,64
401.02.00.02;200;1492
402.04.73.02;124;925,04
415.12.24.02;82;611,72
450.00.22.02;152;1133,92
450.10.16.02;82;611,72
502.28.00.02;940;7012,4
415.100.9.02;275;2051,5
505.01.55.02;1694;12637,24
415.01.24.02;95;708,7
556.51.99.02;180;1342,8
450.10.17.02;104;775,84
450.10.11.02;95;708,7
403.04.18.02;598;4461,08
556.52.65.02;82;611,72
450.20.00.02;342;2551,32
419.00.01.02;104;775,84
512.31.20.02;608;4535,68
526.27.00.02;1271;9481,66
401.07.78.02;930;6937,8
560.19.07.02;702;5236,92
401.06.76.02;702;5236,92
512.22.00.02;134;999,64
401.06.30.02;921;6870,66
501.15.95.02;1983;14793,18
401.41.00.02;82;611,72
560.14.18.02;778;5803,88
419.00.43.02;399;2976,54
440.08.88.02;342;2551,32
430.10.27.02;104;775,84
501.55.00.02;1110;8280,6
505.05.82.02;1110;8280,6
560.30.09.02;854;6370,84
501.45.85.02;3045;22715,7
502.05.64.02;152;1133,92
526.00.19.02;711;5304,06
403.04.91.02;797;5945,62
1018835,02;3320;24767,2
1021907,02;1423;10615,58
400.07.77.02;864;6445,44
401.06.88.02;342;2551,32
502.16.00.02;228;1700,88
430.10.72.02;636;4744,56
502.06.10.02;190;1417,4
540.02.00.02;1803;13450,38
441.00.41.02;617;4602,82
501.23.00.02;636;4744,56
521.00.00.02;418;3118,28
440.00.01.02;617;4602,82
418.00.10.02;238;1775,48
505.22.26.02;968;7221,28
430.10.50.02;617;4602,82
502.06.21.02;275;2051,5
400.03.00.02;361;2693,06
500.30.75.02;523;3901,58
30.10.550;104;775,84
501.38.95.02;3016;22499,36
505.01.85.02;342;2551,32
501.17.00.02;579;4319,34
560.08.00.02;380;2834,8
501.17.87.02;427;3185,42
560.14.12.02;1053;7855,38
505.05.29.02;503;3752,38
512.20.48.02;721;5378,66
401.05.98.02;608;4535,68
419.04.02.02;949;7079,54
417.01.02.02;645;4811,7
401.06.75.02;1499;11182,54
506.25.35.02;5568;41537,28
419.01.01.02;560;4177,6
401.08.30.02;342;2551,32
430.10.10.02;503;3752,38
450.20.01.02;82;611,72
400.06.58.02;532;3968,72
440.08.54.02;541;4035,86
502.38.00.02;371;2767,66
502.05.14.02;180;1342,8
440.08.21.02;797;5945,62
401.04.00.02;427;3185,42
502.05.60.02;152;1133,92
402.25.30.02;598;4461,08
419.00.49.02;645;4811,7
401.07.83.02;721;5378,66
560.14.16.02;825;6154,5
502.14.00.02;200;1492
501.30.00.02;684;5102,64
440.05.23.02;769;5736,74
430.20.00.02;484;3610,64
402.25.47.02;598;4461,08
401.10.00.02;835;6229,1
419.03.00.02;1148;8564,08
440.05.84.02;797;5945,62
401.05.10.02;484;3610,64
402.04.74.02;124;925,04
400.05.50.02;512;3819,52
401.03.71.02;427;3185,42
419.01.00.02;712;5311,52
501.43.01.02;1423;10615,58
419.00.42.02;1120;8355,2
401.10.59.02;778;5803,88
401.05.30.02;845;6303,7
417.01.30.02;456;3401,76
440.05.22.02;892;6654,32
440.05.88.02;655;4886,3
440.05.51.02;901;6721,46
440.05.58.02;721;5378,66
506.20.60.02;986;7355,56
512.03.90.02;210;1566,6
505.02.55.02;493;3677,78
440.05.54.02;873;6512,58
419.04.00.02;845;6303,7
401.13.03.02;152;1133,92
512.09.90.02;769;5736,74
512.01.90.02;769;5736,74
506.27.20.02;1670;12458,2
506.27.00.02;1670;12458,2
540.01.15;28;208,88
502.02.54;33;246,18
540.00.08;295;2200,7
556.51.61;1338;9981,48
1029791;295;2200,7
560.11.97;835;6229,1
1004448;523;3901,58
1004413;1508;11249,68
1004416;1508;11249,68
1009996;1631;12167,26
500.15.15;71;529,66
505.20.18;30;223,8
402.25.32;104;775,84
512.30.66;25;186,5
502.02.18;114;850,44
501.18.12;114;850,44
501.20.12;295;2200,7
501.25.13;104;775,84
501.30.12;82;611,72
501.63.13;134;999,64
512.02.92;342;2551,32
505.05.86;17;126,82
1025936;95;708,7
27.06.206;579;4319,34
27.06.208;608;4535,68
560.15.92;275;2051,5
27.06.509;256;1909,76
540.00.09;190;1417,4
540.02.09;361;2693,06
40.01.024;19;141,74
40.01.031;19;141,74
40.01.053;52;387,92
40.01.009;15;111,9
40.01.013;12;89,52
29.01.722;2324;17337,04
415.12.04;40;298,4
560.10.69;162;1208,52
506.20.12;134;999,64
450.11.29;24;179,04
30.03.212;14;104,44
560.09.42;219;1633,74
555.14.77;76;566,96
555.14.82;104;775,84
555.20.02;124;925,04
530.10.21;33;246,18
440.10.14;332;2476,72
1004654;4041;30145,86
28.11.364;190;1417,4
28.11.362;62;462,52
28.11.410;104;775,84
28.11.404;43;320,78
28.07.091;34;253,64
560.21.06;190;1417,4
575.14.16;2229;16628,34
556.05.32;152;1133,92
560.16.40;45;335,7
560.10.06;190;1417,4
560.10.64;114;850,44
51.03.150;4;29,84
31.00.720;26;193,96
28.09.567.7000;645;4811,7
28.09.567.8000;1053;7855,38
28.09.566.4950;399;2976,54
28.09.563.1600;91;678,86
28.09.564.1600;150;1119
28.09.920.1000;456;3401,76
911.00.02;664;4953,44
502.02.05;285;2126,1
512.50.81;389;2901,94
1006081;152;1133,92
1007639;134;999,64
540.00.05;91;678,86
650.03.45;299;2230,54
650.03.46;299;2230,54
505.80.16;52;387,92
558.00.18;180;1342,8
30.03.061;62;462,52
30.03.095;162;1208,52
506.30.57;171;1275,66
650.00.23;295;2200,7
650.00.26;314;2342,44
650.00.24;152;1133,92
650.00.21;399;2976,54
650.00.27;608;4535,68
650.00.14;228;1700,88
650.00.00;4458;33256,68
650.00.20;1651;12316,46
28.09.429;62;462,52
28.09.416;26;193,96
555.00.84;91;678,86
556.27.45;285;2126,1
512.01.90;1907;14226,22
506.37.64;5529;41246,34
505.06.60;3851;28728,46
505.05.82;3737;27878,02
505.06.30;6431;47975,26
505.05.80;2637;19672,02
505.06.25;2448;18262,08
505.06.35;3765;28086,9
505.05.88;8802;65662,92
505.06.80;4041;30145,86
525.05.62;12804;95517,84
540.00.01;295;2200,7
556.05.31;238;1775,48
440.21.91;266;1984,36
505.16.06;11;82,06
505.04.91;19;141,74
430.10.30;32;238,72
430.10.26;32;238,72
400.07.81;152;1133,92
560.20.28;134;999,64
400.06.38;13;96,98
401.10.85;95;708,7
401.10.87;32;238,72
401.10.75;62;462,52
512.50.20;247;1842,62
512.50.23;219;1633,74
400.07.68;636;4744,56
400.07.64;636;4744,56
400.07.86;48;358,08
403.05.08;219;1633,74
400.07.69;104;775,84
400.08.69.22;864;6445,44
400.01.09;380;2834,8
400.01.13;266;1984,36
400.01.14;285;2126,1
403.05.03;436;3252,56
403.05.11;608;4535,68
556.27.76;285;2126,1
403.15.08;24;179,04
40.01.127;6;44,76
40.01.121;46;343,16
40.01.130;52;387,92
401.02.58;52;387,92
555.10.54.05;4667;34815,82
555.10.54.08;5017;37426,82
555.10.54.28;6146;45849,16
555.10.54.01;4506;33614,76
575.14.02;5397;40261,62
540.01.24;31;231,26
511.00.28;22;164,12
501.30.03;219;1633,74
501.55.03;342;2551,32
501.45.03;380;2834,8
402.25.94;62;462,52
501.38.03;228;1700,88
506.20.03;266;1984,36
501.63.03;371;2767,66
501.09.03;219;1633,74
512.01.71;171;1275,66
90.02.003;124;925,04
506.20.61;1138;8489,48
512.24.53;304;2267,84
506.27.01;1631;12167,26
556.30.10;275;2051,5
402.05.59;1138;8489,48
547.01.05;1243;9272,78
540.01.22;82;611,72
400.05.58;219;1633,74
402.25.01;152;1133,92
401.05.41;361;2693,06
401.08.09;238;1775,48
502.02.92;143;1066,78
415.01.01;95;708,7
415.12.01;104;775,84
410.07.54;394;2939,24
402.05.27;351;2618,46
430.10.34;351;2618,46
450.11.06;104;775,84
560.14.27;371;2767,66
401.07.35;2817;21014,82
440.21.78;523;3901,58
440.21.82;456;3401,76
401.05.58;1793;13375,78
403.05.41;2418;18038,28
402.05.28;930;6937,8
400.15.27;921;6870,66
30.05.046;475;3543,5
501.55.04;275;2051,5
501.30.04;114;850,44
500.30.77;266;1984,36
500.20.77;266;1984,36
500.25.77;266;1984,36
400.15.28;882;6579,72
501.38.04;152;1133,92
501.28.04;104;775,84
401.00.04;152;1133,92
400.21.06;33;246,18
402.25.83;210;1566,6
400.20.06;33;246,18
402.25.82;91;678,86
402.05.33;58;432,68
506.27.12;228;1700,88
506.27.34;1433;10690,18
418.01.30;351;2618,46
418.10.30;447;3334,62
418.10.02;588;4386,48
560.15.33;389;2901,94
560.15.35;408;3043,68
418.01.10;418;3118,28
418.00.10;512;3819,52
505.10.17;171;1275,66
512.02.99;475;3543,5
512.03.75;447;3334,62
401.00.01;314;2342,44
419.00.36;389;2901,94
402.04.45;124;925,04
401.03.42;427;3185,42
401.04.75;210;1566,6
450.21.00;91;678,86
401.03.31;238;1775,48
401.07.93;82;611,72
401.02.49;104;775,84
401.05.30;1158;8638,68
401.06.30;2779;20731,34
419.00.40;749;5587,54
419.00.31;1253;9347,38
419.00.02;304;2267,84
400.06.75;1584;11816,64
441.00.54;3765;28086,9
401.05.78;721;5378,66
401.05.75;1025;7646,5
401.05.81;1299;9690,54
400.03.46;788;5878,48
400.03.41;342;2551,32
401.03.20;456;3401,76
401.03.41;864;6445,44
401.03.33;399;2976,54
440.05.51;1233;9198,18
440.05.52;1290;9623,4
440.08.52;1177;8780,42
402.05.15;1746;13025,16
440.05.84;977;7288,42
440.05.54;1110;8280,6
440.08.84;854;6370,84
440.08.54;1718;12816,28
401.06.02;1016;7579,36
401.07.83;1072;7997,12
401.06.75;2902;21648,92
401.03.71;655;4886,3
401.23.04;693;5169,78
440.05.88;1423;10615,58
440.05.58;2703;20164,38
440.08.88;1205;8989,3
440.08.58;2068;15427,28
440.09.88;1868;13935,28
440.09.58;2722;20306,12
403.05.10;6260;46699,6
400.02.21;361;2693,06
403.02.84;295;2200,7
560.13.16;588;4386,48
400.02.84;210;1566,6
401.03.21;512;3819,52
401.05.89;1214;9056,44
401.02.04;210;1566,6
400.06.96;1944;14502,24
400.06.95;958;7146,68
400.06.94;1072;7997,12
400.06.70;1385;10332,1
400.09.21;2618;19530,28
555.00.78;92;686,32
547.00.18;816;6087,36
403.02.56;256;1909,76
560.34.59;1163;8675,98
400.02.46;190;1417,4
400.04.61;29;216,34
440.21.27;285;2126,1
440.21.04;134;999,64
418.01.13;71;529,66
402.04.14;52;387,92
400.03.17;52;387,92
440.21.22;171;1275,66
402.04.19;45;335,7
402.05.34;95;708,7
419.00.34;256;1909,76
502.02.28;62;462,52
419.00.11;134;999,64
400.06.39;82;611,72
401.04.10;41;305,86
400.02.18;23;171,58
417.01.32;180;1342,8
419.00.16;134;999,64
419.00.13;351;2618,46
502.02.12;58;432,68
419.00.14;256;1909,76
417.01.07;104;775,84
418.00.11;95;708,7
418.00.16;95;708,7
419.00.05;171;1275,66
419.00.04;247;1842,62
419.00.07;371;2767,66
419.00.09;399;2976,54
440.21.41;71;529,66
440.21.48;295;2200,7
400.03.34;76;566,96
400.02.22;40;298,4
417.01.27;152;1133,92
403.04.74;171;1275,66
440.21.54;304;2267,84
402.05.24;202;1506,92
403.04.10;247;1842,62
417.02.32;436;3252,56
400.02.34;134;999,64
401.04.96;304;2267,84
400.03.97;266;1984,36
400.06.43;143;1066,78
401.00.28;285;2126,1
435.00.11;361;2693,06
401.07.41;332;2476,72
401.05.26;332;2476,72
401.02.83;285;2126,1
401.02.82;285;2126,1
401.03.46;332;2476,72
401.10.39;541;4035,86
401.10.05;162;1208,52
401.10.25;114;850,44
502.02.80;190;1417,4
400.05.31;48;358,08
401.00.06;52;387,92
505.06.71;295;2200,7
501.15.20;71;529,66
400.10.03;86;641,56
501.45.20;114;850,44
547.01.04;342;2551,32
500.25.11;134;999,64
505.10.22;58;432,68
575.12.26;17;126,82
501.40.20;76;566,96
500.15.11;134;999,64
501.25.20;71;529,66
502.04.26;50;373
505.20.08;76;566,96
505.20.07;76;566,96
402.25.79;702;5236,92
401.02.57;52;387,92
400.17.30;162;1208,52
505.03.83;114;850,44
400.02.87;67;499,82
403.04.24;228;1700,88
575.12.35;62;462,52
500.40.11;143;1066,78
401.03.53;806;6012,76
502.02.09;52;387,92
501.20.20;71;529,66
501.45.19;76;566,96
402.26.77;171;1275,66
512.01.56;62;462,52
500.30.11;134;999,64
502.02.55;16;119,36
400.25.55;52;387,92
500.20.11;134;999,64
511.00.42;42;313,32
401.04.73;82;611,72
401.04.12;82;611,72
502.02.56;20;149,2
502.02.31;24;179,04
400.25.05;58;432,68
502.02.37;52;387,92
560.09.04;71;529,66
501.28.20;71;529,66
501.63.20;82;611,72
501.30.20;76;566,96
502.02.08;48;358,08
501.13.19;67;499,82
402.13.12;67;499,82
505.03.63;71;529,66
501.63.19;82;611,72
501.38.20;76;566,96
502.02.22;52;387,92
501.30.19;71;529,66
501.32.20;76;566,96
501.35.20;76;566,96
560.34.12;503;3752,38
502.02.11;52;387,92
560.34.53;1101;8213,46
410.07.57;134;999,64
402.04.13;124;925,04
501.19.20;71;529,66
401.10.27;256;1909,76
502.02.10;52;387,92
400.15.07;62;462,52
501.23.59;1755;13092,3
512.01.07;76;566,96
400.25.29;58;432,68
501.18.19;67;499,82
505.03.25;71;529,66
505.12.07;67;499,82
501.20.19;71;529,66
512.01.91;76;566,96
560.08.03;76;566,96
506.20.10;95;708,7
400.05.76;46;343,16
401.60.02;143;1066,78
400.04.42;228;1700,88
505.01.73;247;1842,62
512.02.87;247;1842,62
505.01.75;304;2267,84
512.02.91;190;1417,4
401.03.38;541;4035,86
512.03.74;408;3043,68
512.03.76;408;3043,68
440.21.25;162;1208,52
440.21.32;180;1342,8
440.21.05;162;1208,52
440.21.08;465;3468,9
401.08.07;104;775,84
501.70.01;275;2051,5
501.70.04;1148;8564,08
501.70.05;1158;8638,68
501.13.20;371;2767,66
501.70.00;427;3185,42
402.25.14;162;1208,52
400.25.70;91;678,86
400.25.23;143;1066,78
400.25.21;143;1066,78
401.25.28;475;3543,5
505.06.79;247;1842,62
401.03.83;380;2834,8
403.25.11;200;1492
403.05.95;238;1775,48
560.09.41;664;4953,44
401.03.15;91;678,86
403.05.93;418;3118,28
401.06.35;152;1133,92
403.04.12;247;1842,62
401.06.78;124;925,04
501.17.60;854;6370,84
505.12.27;389;2901,94
506.22.18;523;3901,58
501.30.29;447;3334,62
501.45.37;778;5803,88
401.10.89;389;2901,94
401.10.91;331;2469,26
504.02.09;579;4319,34
402.25.24;134;999,64
400.03.98;152;1133,92
401.10.77;380;2834,8
504.02.24;418;3118,28
401.25.06;493;3677,78
400.02.89;152;1133,92
401.06.44;399;2976,54
401.25.29;371;2767,66
401.25.05;389;2901,94
402.25.11;256;1909,76
401.16.32;436;3252,56
504.02.22;380;2834,8
501.38.61;655;4886,3
401.08.13;636;4744,56
400.15.04;82;611,72
401.16.13;143;1066,78
401.10.92;170;1268,2
402.25.84;210;1566,6
505.03.65;114;850,44
505.03.54;95;708,7
401.10.07;380;2834,8
402.26.78;247;1842,62
400.05.72;40;298,4
505.13.56;114;850,44
400.15.30;569;4244,74
402.25.36;71;529,66
402.25.05;62;462,52
401.10.78;361;2693,06
505.12.08;91;678,86
512.01.86;48;358,08
512.02.89;190;1417,4
512.01.85;104;775,84
512.03.77;447;3334,62
512.02.88;342;2551,32
401.06.33;134;999,64
401.06.79;95;708,7
505.12.28;266;1984,36
401.03.37;332;2476,72
1022977;27;201,42
1000214;76;566,96
40.01.131;24;179,04
90.02.004;32;238,72
575.12.45;27;201,42
560.34.32;46;343,16
505.16.16;76;566,96
505.16.19;266;1984,36
505.16.09;162;1208,52
505.00.43;977;7288,42
547.00.23;1016;7579,36
547.00.64;825;6154,5
505.20.53;47;350,62
501.63.63;28;208,88
503.01.04;102;760,92
503.01.14;82;611,72
506.30.59;664;4953,44
560.30.20;2798;20873,08
560.30.21;2817;21014,82
575.10.55;134;999,64
421.00.80;104;775,84
